Year,Average Exchange Rate (INR/USD)
2003,45.47608698969302
2004,45.18860381199763
2005,44.00375298459557
2006,45.183561471792366
2007,41.19224796738735
2008,43.46483052466527
2009,48.28333470271184
2010,45.62196937648729
2011,46.5629034741965
2012,53.404275901472886
2013,58.52890382913443
2014,60.973455991781535
2015,64.12445996456219
2016,67.16636634329727
2017,65.1095932213835
2018,68.45175550906595
2019,70.50973287729117
2020,74.22281195371205
2021,73.93580224048132
2022,78.57705098665677
2023,82.57708666874812
2024,83.3134705066681
